# recollida de punts 16/01/2015
const int THRESHOLD = 5;
const int SENSOR_COUNT = 6;<	
const unsigned long TIMEOUT_BETWEEN_HITS = 100000; // in millis

(6,6)
hit: {1366:6 1125:5 3971:5 952:8 2792:5 0:6 l}
hit: {1341:5 1100:6 2154:5 855:5 2682:5 0:6 l}
hit: {1511:5 1210:5 4026:5 0:5 2200:5 139:7 l}
hit: {1331:6 1069:5 4010:5 898:6 2683:5 0:10 l}
hit: {1406:6 1135:5 3994:5 953:6 2756:5 0:5 l}
hit: {1332:5 1071:6 3931:5 892:6 2764:5 0:11 l}
(30,6)
hit: {1835:9 0:48 1226:5 1369:5 993:5 2022:6 l}
hit: {1840:8 0:29 1205:5 1347:5 945:6 2030:7 l}
hit: {1958:15 0:31 1156:5 1859:5 966:5 2078:6 l}
hit: {1934:10 0:18 1231:7 840:5 1642:5 2119:5 l}
hit: {2014:13 0:17 1899:6 1981:5 2722:5 2136:5 l}
hit: {1929:10 0:25 1881:5 1822:5 941:5 2049:5 l}
hit: {1907:12 0:49 1167:5 1380:5 2676:6 2097:8 l}
hit: {1916:5 0:25 1168:5 1435:5 1825:5 2106:6 l}
hit: {2017:11 0:6 1182:6 1590:6 997:5 2207:8 l}
hit: {2016:18 0:7 1145:5 1426:5 977:6 2137:8 l}
hit: {1940:9 0:16 1831:5 1445:5 981:5 2127:8 l}
hit: {1975:16 0:36 1790:5 1871:5 2629:5 2097:6 l}
hit: {1910:6 0:16 1238:5 1443:5 1011:5 2100:6 l}
hit: {1920:14 0:53 1154:6 1365:5 974:6 2106:8 l}
(30,18)
hit: {1385:7 0:9 537:7 22:8 701:5 570:5 l}
hit: {1433:6 0:10 579:8 83:5 531:5 744:6 l}
hit: {1382:7 0:9 630:9 93:9 379:5 727:6 l}
hit: {1407:6 0:8 459:5 83:10 223:5 625:7 l}
hit: {1445:6 0:5 584:5 154:7 942:5 816:6 l}
hit: {1457:7 0:8 552:7 152:9 509:5 717:5 l}
hit: {1443:7 0:11 593:7 151:9 362:6 816:7 l}
hit: {1409:8 0:10 557:7 90:10 777:5 723:7 l}
hit: {1389:5 0:7 565:6 91:6 845:5 722:5 l}
hit: {1428:5 0:7 536:5 154:7 890:5 765:5 l}
hit: {1449:11 0:8 548:5 83:6 292:6 712:6 l}
hit: {1430:7 0:8 577:6 83:6 288:5 742:7 l}
hit: {1467:6 0:6 624:9 152:6 365:5 789:6 l}
(30,30)
hit: {989:5 342:6 2908:5 121:5 0:5 451:5 l}
hit: {1560:8 0:5 812:6 22:5 895:5 174:5 l}
hit: {1525:5 763:7 644:5 0:5 72:5 20:5 l}
hit: {1622:5 0:5 840:6 152:6 797:5 174:5 l}
hit: {1471:6 828:8 709:5 0:5 731:5 1128:5 l}
hit: {1456:5 770:7 714:5 0:6 671:5 1369:5 l}
hit: {1632:5 0:5 765:5 163:5 787:5 1274:5 l}
hit: {1519:6 829:6 708:5 0:5 730:6 20:5 l}
hit: {975:5 176:5 48:5 127:5 0:5 470:6 l}
hit: {1590:5 977:5 710:5 51:6 732:7 0:6 l}
hit: {1550:7 0:5 804:5 20:5 825:5 110:5 l}
hit: {799:5 743:10 621:6 0:6 83:5 22:5 l}
hit: {962:5 0:5 847:6 163:7 869:6 183:5 l}
hit: {1505:7 1005:5 5712:5 0:6 836:6 22:6 l}
(30,42)
hit: {3800:7 867:6 2695:5 2513:5 52:5 0:7 l}
hit: {3808:7 876:6 2699:6 2570:6 61:6 0:6 l}
hit: {3763:6 847:6 1874:5 2453:5 0:7 11:9 l}
hit: {2667:5 815:6 2619:5 1534:5 61:6 0:7 l}
hit: {1647:5 887:6 1948:5 0:5 81:8 92:11 l}
hit: {2689:5 779:5 2711:5 1185:5 0:5 72:7 l}
hit: {2644:5 773:5 2734:5 1116:5 0:6 11:6 l}
hit: {1669:5 722:5 1689:5 1559:6 0:8 11:6 l}
hit: {3870:8 769:5 1920:5 2471:5 0:5 81:8 l}
hit: {1662:5 700:5 1682:5 1560:5 0:7 11:9 l}
hit: {1657:6 737:5 2729:5 2412:5 52:6 0:5 l}
hit: {2662:6 778:5 2612:5 1510:5 0:7 11:9 l}
hit: {3829:7 800:5 2693:5 2509:5 0:6 11:5 l}
(42,6)
hit: {1451:8 0:9 11:6 604:5 173:6 1976:5 l}
hit: {1463:9 0:9 11:7 614:6 219:8 1999:6 l}
hit: {1454:7 0:10 11:7 598:5 219:8 1953:5 l}
hit: {1446:7 0:6 11:5 667:5 409:6 2030:5 l}
hit: {1448:5 0:5 72:7 655:6 225:8 1957:5 l}
hit: {1449:7 0:10 81:8 699:6 305:5 1434:5 l}
hit: {1471:8 0:7 11:7 622:5 235:10 1996:6 l}
hit: {1444:5 0:5 82:10 693:7 298:7 1429:5 l}
hit: {1517:8 59:5 0:8 674:6 233:9 2020:5 l}
hit: {1463:5 52:6 0:6 726:7 274:7 1514:5 l}
hit: {1508:7 122:9 0:5 742:6 279:6 2098:7 l}
